        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , GPU Power [W] , GPU Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] ,
2014-01-24 11:51:33 ,              350.0   ,                800.0   ,               47.0   ,         0.3   ,          4   ,                          16   ,                       282   ,
2014-01-24 11:51:34 ,              350.0   ,                800.0   ,               52.0   ,         0.1   ,          2   ,                          16   ,                       282   ,
2014-01-24 11:51:35 ,              350.0   ,                800.0   ,               57.0   ,         0.4   ,          6   ,                          16   ,                       283   ,
2014-01-24 11:51:36 ,             1250.0   ,                800.0   ,               51.0   ,         4.2   ,         27   ,                          16   ,                       287   ,
2014-01-24 11:51:37 ,             1250.0   ,                800.0   ,               53.0   ,        13.7   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:51:38 ,             1250.0   ,                800.0   ,               54.0   ,        13.7   ,         78   ,                          16   ,                       290   ,
2014-01-24 11:51:39 ,             1250.0   ,                800.0   ,               54.0   ,        13.7   ,         77   ,                          16   ,                       287   ,
2014-01-24 11:51:40 ,             1250.0   ,                800.0   ,               54.0   ,        13.7   ,         77   ,                          16   ,                       287   ,
2014-01-24 11:51:41 ,             1250.0   ,                800.0   ,               54.0   ,        13.7   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:51:43 ,             1250.0   ,                800.0   ,               56.0   ,        13.6   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:51:44 ,             1250.0   ,                800.0   ,               55.0   ,        13.6   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:51:45 ,             1250.0   ,                800.0   ,               56.0   ,        13.7   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:51:46 ,             1250.0   ,                800.0   ,               56.0   ,        13.8   ,         78   ,                          16   ,                       290   ,
2014-01-24 11:51:47 ,             1250.0   ,                800.0   ,               57.0   ,        13.8   ,         78   ,                          16   ,                       290   ,
2014-01-24 11:51:48 ,             1250.0   ,                800.0   ,               58.0   ,        13.8   ,         78   ,                          16   ,                       287   ,
