        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , GPU Power [W] , GPU Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] ,
2014-01-24 11:45:19 ,              350.0   ,                800.0   ,               52.0   ,         0.3   ,          3   ,                          16   ,                       279   ,
2014-01-24 11:45:20 ,              350.0   ,                800.0   ,               49.0   ,         0.2   ,          3   ,                          16   ,                       276   ,
2014-01-24 11:45:21 ,              350.0   ,                800.0   ,               49.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:22 ,              350.0   ,                800.0   ,               51.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:23 ,              350.0   ,                800.0   ,               47.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:24 ,              350.0   ,                800.0   ,               46.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:25 ,              350.0   ,                800.0   ,               46.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:26 ,              350.0   ,                800.0   ,               48.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:27 ,              350.0   ,                800.0   ,               47.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:28 ,              350.0   ,                800.0   ,               48.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:29 ,              350.0   ,                800.0   ,               48.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:30 ,              350.0   ,                800.0   ,               47.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:31 ,              350.0   ,                800.0   ,               48.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:32 ,              350.0   ,                800.0   ,               47.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:33 ,              350.0   ,                800.0   ,               46.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:34 ,              350.0   ,                800.0   ,               48.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:35 ,              350.0   ,                800.0   ,               48.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:36 ,              350.0   ,                800.0   ,               45.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:37 ,              350.0   ,                800.0   ,               46.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:38 ,              350.0   ,                800.0   ,               49.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:39 ,              350.0   ,                800.0   ,               45.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:41 ,              350.0   ,                800.0   ,               45.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:42 ,              350.0   ,                800.0   ,               46.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:43 ,              350.0   ,                800.0   ,               45.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:44 ,              350.0   ,                800.0   ,               47.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:45 ,              350.0   ,                800.0   ,               46.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:46 ,              350.0   ,                800.0   ,               47.0   ,         0.1   ,          2   ,                          16   ,                       276   ,
2014-01-24 11:45:47 ,              350.0   ,                800.0   ,               54.0   ,         0.2   ,          3   ,                          16   ,                       276   ,
